all_flow_lemon,tcp,flow_num,
248714,212133,1234,
241872,203943,1188,
196719,167430,1065,
198169,165715,1117,
209238,179856,1080,
193625,165118,981,
191277,165596,1016,
166889,140733,903,
196580,156957,1069,
194178,156351,1098,
194755,160609,1055,
188698,149107,1135,
179495,146948,1068,
184872,156096,1017,
191054,153061,1090,
185428,152443,1154,
191599,158556,1086,
185779,158481,1128,
187427,157567,1016,
201750,166712,1091,
202072,165576,1079,
196591,166392,1060,
185974,156583,1009,
188716,162499,1000,
184778,150448,1149,
191359,156049,1113,
174360,141444,1077,
185671,152737,1142,
176242,146860,1011,
193288,163006,1051,
188199,154254,1080,
184940,151537,987,
188793,154057,1083,
187992,154286,1061,
183588,152364,1037,
181782,146123,1009,
188560,156256,1054,
190370,155545,992,
192814,162813,997,
192245,162466,1013,
193660,162227,959,
193920,156734,1005,
187012,160293,974,
184126,160441,923,
177174,154008,899,
193801,172386,928,
179732,159494,896,
168709,147302,976,
186363,156360,988,
201288,165688,1017,
201468,169399,1042,
190041,160513,979,
188658,157447,1004,
187288,156184,1024,
190058,156516,992,
187679,153141,1033,
188849,152781,1055,
175736,141932,964,
189640,158630,995,
160265,133063,1015,
191553,157417,1077,
165398,135596,1097,
190181,159740,1041,
197823,166210,1101,
202068,172186,1057,
198785,165136,1058,
182273,150070,1072,
188470,149165,1164,
189434,152745,1131,
176703,136963,1155,
186598,138084,1133,
177301,133027,1040,
191322,147056,1104,
190400,159752,1124,
181583,151285,1076,
190964,159731,1049,
168499,139728,1041,
188633,154709,1122,
197389,167948,1070,
194551,159089,1026,
193864,157253,1039,
172176,143128,1020,
186333,156254,1040,
190846,159633,1040,
191745,160372,1073,
171945,142053,1018,
184572,148083,1023,
192621,150000,1092,
187559,153935,1106,
184273,155167,1105,
186480,153666,1069,
188562,147462,1124,
176056,135593,1082,
189611,143890,1096,
195007,163773,1065,
177077,145977,972,
179763,150328,1004,
184611,150494,1017,
189858,156381,1093,
186579,149874,1083,
185922,154408,1039,
178391,146372,1019,
173879,140942,1095,
187281,145538,1119,
188408,144980,1107,
184207,142111,1125,
166353,119176,1157,
189748,140238,1218,
198884,156021,1216,
201559,168776,1094,
180297,152333,1117,
174622,143566,1054,
160824,130130,1059,
186686,151362,1160,
184336,161668,1037,
178583,149486,1009,
188875,157575,1087,
187157,147248,1096,
178575,147023,1123,
180679,145708,1062,
183363,150276,1036,
186131,151349,1064,
187931,143913,1093,
186300,145208,1136,
191849,150575,1076,
191765,154880,1115,
191622,151555,1069,
189959,151753,1050,
171599,142050,923,
186664,152916,1035,
188944,144971,1116,
182119,144646,1099,
189819,159291,1053,
180558,144108,1131,
183656,146071,1106,
228112,182431,1218,
195603,157166,1166,
177049,140049,1138,
164708,130210,1110,
166837,128305,1140,
164977,129166,1100,
150327,112116,1086,
167745,126902,1192,
159763,133394,1068,
186782,152518,1154,
163250,133854,1044,
179995,143736,1091,
189869,157477,1121,
185963,155498,1129,
188386,156766,1111,
184322,159727,1034,
182402,157143,1011,
186581,151946,1094,
187483,153748,1090,
181344,140172,1185,
178248,133558,1224,
184479,144600,1250,
186311,155007,1080,
183228,151174,1079,
182671,147843,1134,
185178,155720,1149,
162211,134378,1027,
129175,106153,903,
170963,137356,1144,
175717,134764,1123,
181196,148718,1068,
179501,145104,1029,
196438,157265,1037,
196420,168940,1096,
176191,150788,1052,
89382,75238,724,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
2,0,0,
1,0,0,
1,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
1,0,0,
1,0,0,
1,0,0,
1,0,0,
1,0,0,
1,0,0,
1,0,0,
1,0,0,
1,0,0,
1,0,0,
1,0,0,
1,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
